Taxonomic lineage (GENUS)	Taxonomic lineage (SPECIES)	Taxonomic lineage IDs (GENUS)	Taxonomic lineage IDs (SPECIES)	KEGG	KO	EC number	COG ID	MP1	MP2	MP3	MP4
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1995		2.7.7.-	COG3378	0.888924024508324	0.894852917746099	1.10792824259676	0.0
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_3339				0.888924024508324	0.894852917746099	1.10792824259676	0.0
Methanothrix	Methanothrix harundinacea	2222.0	301375.0	mhi:Mhar_0659	K02493	2.1.1.72	COG1743	0.888924024508324	0.894852917746099	1.10792824259676	0.0
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_0418				0.888924024508324	0.894852917746099	1.10792824259676	0.0
Methanobacterium	Methanobacterium formicicum	2160.0	2162.0					0.888924024508324	0.894852917746099	0.0	1.13467651053294
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_2837	K01887	6.1.1.19	COG0018	0.888924024508324	0.894852917746099	0.0	1.13467651053294
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_2839		6.1.1.27	COG2024	0.888924024508324	0.894852917746099	0.0	1.13467651053294
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_3547	K01342,K08652,K01342,K01342	3.4.21.-	COG1404	0.888924024508324	0.894852917746099	0.0	1.13467651053294
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0606,mcj:MCON_2368	K07491		COG1943	0.888924024508324	2.6845587532383	4.43171297038704	0.0
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_0845		2.7.8.-	COG1782	0.0	1.7897058354922	1.10792824259676	0.0
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1735	K00611	2.1.3.3	COG0078	2.66677207352497	2.6845587532383	0.0	4.53870604213177
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_1333	K22900	1.2.99.5	COG1720	1.77784804901665	0.0	1.10792824259676	0.0
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1315	K00030		COG0473	8.88924024508324	5.36911750647659	8.86342594077407	4.53870604213177
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0907	K19244	1.4.1.1	COG2423	0.0	3.5794116709844	4.43171297038704	0.0
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_0262			COG5421	0.0	1.7897058354922	0.0	1.13467651053294
Methanobacterium	Methanobacterium formicicum	2160.0	2162.0		K01154,K01154,K01154,K01154,K01154,K01152,K01152,K01154,K01157,K01157,K01152,K01152,K01154,K01157,K01157,K01157,K01157	3.1.21.3	COG0732	1.77784804901665	0.0	0.0	1.13467651053294
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_2006,mcj:MCON_2061,mcj:MCON_2396,mcj:MCON_3247			COG5421	1.77784804901665	0.0	0.0	1.13467651053294
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_2375		2.7.13.3	COG2202	1.77784804901665	0.0	0.0	1.13467651053294
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0895	K00705,K05989	2.4.1.25	COG3408	2.66677207352497	0.0	2.21585648519352	1.13467651053294
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0077				0.888924024508324	0.894852917746099	1.10792824259676	1.13467651053294
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0781	K00971,K01587,K01809,K01607,K00971,K00971	4.1.1.44	COG1917	0.888924024508324	0.894852917746099	1.10792824259676	1.13467651053294
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0282	K07218	3.4.21.-	COG3420	0.888924024508324	0.894852917746099	1.10792824259676	1.13467651053294
Methanobacterium	Methanobacterium formicicum	2160.0	2162.0		K00754,K00754,K00754,K00703,K00705,K00754,K00754,K08239,K00754,K00754,K03429,K00754,K00754,K08256,K00754,K08256,K00754,K00705,K00754,K02840,K00754,K00754	2.4.1.-	COG0438	0.888924024508324	1.7897058354922	1.10792824259676	1.13467651053294
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_3550,mcj:MCON_3564				0.888924024508324	1.7897058354922	1.10792824259676	1.13467651053294
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_2584		1.6.5.3	COG2111	0.888924024508324	1.7897058354922	1.10792824259676	1.13467651053294
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1841		3.6.4.1	COG0613	1.77784804901665	0.894852917746099	1.10792824259676	1.13467651053294
Methanobacterium	Methanobacterium formicicum	2160.0	2162.0		K01174,K01174	3.1.31.1	COG1525	1.77784804901665	0.894852917746099	1.10792824259676	1.13467651053294
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_0415	K06921	2.7.11.1	COG1672	1.77784804901665	0.894852917746099	1.10792824259676	1.13467651053294
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_1415		2.7.13.3	COG2202	1.77784804901665	0.0	1.10792824259676	1.13467651053294
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_2951	K00676,K03823,K03827,K00680,K00663,K03790,K01951,K00676	2.3.1.128	COG1670	0.0	2.6845587532383	1.10792824259676	1.13467651053294
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_3521	K06871	1.3.99.22	COG0641	0.0	2.6845587532383	2.21585648519352	0.0
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0260,mcj:MCON_0731,mcj:MCON_3485			COG5421	1.77784804901665	0.0	2.21585648519352	0.0
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_2559	K01749	2.5.1.61	COG0181	1.77784804901665	0.0	2.21585648519352	0.0
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0899	K01845	5.4.3.8	COG0001	2.66677207352497	0.0	1.10792824259676	1.13467651053294
Methanothrix	Methanothrix harundinacea	2222.0	301375.0	mhi:Mhar_0143	K01417,K01802,K00870,K00754,K01417	3.4.24.-	COG4783	2.66677207352497	0.0	2.21585648519352	0.0
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0611	K02591	1.18.6.1	COG2710	0.0	1.7897058354922	2.21585648519352	0.0
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_3375	K19085		COG4343	0.888924024508324	1.7897058354922	0.0	2.26935302106589
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_2781	K01153	3.1.21.3	COG0610	1.77784804901665	0.894852917746099	0.0	2.26935302106589
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_0626	K00555	2.1.1.216	COG1867	1.77784804901665	5.36911750647659	5.53964121298379	1.13467651053294
Methanobacterium	Methanobacterium formicicum	2160.0	2162.0					0.888924024508324	0.0	0.0	1.13467651053294
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_2851			COG3436	0.888924024508324	0.0	0.0	1.13467651053294
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0224	K01491	1.5.1.5,3.5.4.9	COG0190	0.888924024508324	0.0	0.0	1.13467651053294
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_2410		3.5.1.28	COG1305	0.888924024508324	0.0	0.0	1.13467651053294
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_0797				0.888924024508324	0.0	0.0	1.13467651053294
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1317	K00963,K02536,K00963,K01840	2.7.7.7	COG1208	0.888924024508324	0.0	0.0	1.13467651053294
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_1489		2.7.7.-	COG2219	0.888924024508324	0.0	0.0	1.13467651053294
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1372			COG1916	0.888924024508324	0.0	0.0	1.13467651053294
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_0041				0.888924024508324	0.0	0.0	1.13467651053294
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1459	K00754,K00754,K00754,K00703,K00705,K00754,K00754,K08239,K00754,K00754,K03429,K00754,K00754,K08256,K00754,K08256,K00754,K00705,K00754,K02840,K00754,K00754	2.4.1.-	COG0438	0.888924024508324	0.0	0.0	1.13467651053294
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_3522	K06147	3.6.3.-	COG1132	0.888924024508324	0.0	0.0	1.13467651053294
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_1838	K03388	1.8.-.-	COG1148	26.6677207352497	26.845587532383	22.1585648519352	31.7709422949224
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_2409				0.0	0.894852917746099	0.0	1.13467651053294
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_1052	K04069	1.97.1.4	COG1180	0.0	0.894852917746099	0.0	1.13467651053294
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_3378	K15342	3.1.-.-	COG1518	0.0	0.894852917746099	0.0	1.13467651053294
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_0032				0.0	0.894852917746099	0.0	1.13467651053294
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1812	K00754,K00754,K00721,K00754,K00754,K00754,K00754,K00754	3.1.3.3	COG0463	0.0	0.894852917746099	0.0	1.13467651053294
Methanobacterium	Methanobacterium formicicum	2160.0	2162.0			4.2.3.1	COG1719	0.0	0.894852917746099	0.0	1.13467651053294
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_1844	K03406			0.0	0.894852917746099	0.0	1.13467651053294
Methanobacterium	Methanobacterium formicicum	2160.0	2162.0		K00492	2.6.1.-	COG0661	0.0	0.894852917746099	0.0	1.13467651053294
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_1294		2.7.13.3	COG4564	0.0	0.894852917746099	0.0	1.13467651053294
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_2720		5.4.1.2	COG1598	0.0	0.894852917746099	0.0	1.13467651053294
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_2796	K06950	2.1.1.206	COG1418	0.0	0.894852917746099	0.0	1.13467651053294
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_3126	K07496		COG0675	0.0	0.894852917746099	0.0	1.13467651053294
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1851	K07497	2.7.7.49	COG2801	0.0	0.894852917746099	0.0	1.13467651053294
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0785	K01361,K02109,K10352,K10352	3.6.4.1	COG1196	0.0	0.894852917746099	0.0	1.13467651053294
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_0199		1.6.5.3	COG1600	0.0	0.894852917746099	0.0	1.13467651053294
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_1827				0.0	0.894852917746099	0.0	1.13467651053294
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_0025	K03529	3.6.4.1	COG1196	0.0	0.894852917746099	0.0	1.13467651053294
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_2224				3.5556960980333	1.7897058354922	0.0	5.67338255266472
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_1514				0.888924024508324	0.0	1.10792824259676	0.0
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_2637				0.888924024508324	0.0	1.10792824259676	0.0
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_1882				0.888924024508324	0.0	1.10792824259676	0.0
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_0603		6.6.1.1	COG1240	0.888924024508324	0.0	1.10792824259676	0.0
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1444		2.4.99.21	COG1287	0.888924024508324	0.0	1.10792824259676	0.0
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_2423		5.4.1.2	COG1598	0.888924024508324	0.0	1.10792824259676	0.0
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_0741				0.888924024508324	0.0	1.10792824259676	0.0
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_2429			COG5464	0.888924024508324	0.0	1.10792824259676	0.0
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_2047				0.888924024508324	0.0	1.10792824259676	0.0
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_2796	K06929	2.5.1.49	COG1832	0.888924024508324	0.0	1.10792824259676	0.0
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_0839	K02319	2.7.7.7		0.888924024508324	0.0	1.10792824259676	0.0
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_0724				0.888924024508324	0.0	1.10792824259676	0.0
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_2578	K00754,K00754,K00754,K00703,K00705,K00754,K00754,K08239,K00754,K00754,K03429,K00754,K00754,K08256,K00754,K08256,K00754,K00705,K00754,K02840,K00754,K00754	2.4.1.-	COG0438	0.888924024508324	0.0	1.10792824259676	0.0
Methanothrix	Methanothrix harundinacea	2222.0	301375.0	mhi:Mhar_1851				0.888924024508324	0.0	1.10792824259676	0.0
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_3202		2.7.13.3	COG0642	0.0	0.894852917746099	1.10792824259676	0.0
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1119	K00571,K01155	2.1.1.72	COG1002	0.0	0.894852917746099	1.10792824259676	0.0
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_0473				0.0	0.894852917746099	1.10792824259676	0.0
Methanothrix	Methanothrix thermoacetophila	2222.0	2224.0	mtp:Mthe_0955	K01790	5.1.3.13	COG1898	0.0	0.894852917746099	1.10792824259676	0.0
Methanothrix	Methanothrix harundinacea	2222.0	301375.0	mhi:Mhar_1713	K07061		COG1367	0.0	0.894852917746099	1.10792824259676	0.0
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_3546	K01342,K08652,K01342,K01342	3.4.21.-	COG1404	0.0	0.894852917746099	1.10792824259676	0.0
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_2613		2.5.1.108	COG1736	0.0	0.894852917746099	1.10792824259676	0.0
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1975	K01890	6.1.1.20	COG0072	0.0	0.894852917746099	1.10792824259676	0.0
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_2053				0.0	0.894852917746099	1.10792824259676	0.0
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_0828	K07562		COG1499	0.0	0.894852917746099	1.10792824259676	0.0
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0618				0.0	16.1073525194298	15.5109953963546	0.0
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_3520		3.1.21.-	COG0535	1.77784804901665	1.7897058354922	1.10792824259676	2.26935302106589
Methanobacterium	Methanobacterium formicicum	2160.0	2162.0			2.7.13.3	COG2202	0.0	3.5794116709844	2.21585648519352	1.13467651053294
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1158	K01873	6.1.1.9	COG0525	3.5556960980333	0.0	3.32378472779028	0.0
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_2525	K03841	3.1.3.11	COG0158	21.3341765881998	14.3176466839376	11.0792824259676	24.9628832317247
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0996	K02469,K03427,K03427,K03427	3.1.21.4	COG0286	2.66677207352497	0.894852917746099	0.0	3.40402953159883
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_2176			COG4584	10.6670882940999	7.15882334196879	8.86342594077407	9.07741208426354
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_0225		2.1.1.172	COG2227	3.5556960980333	0.894852917746099	1.10792824259676	3.40402953159883
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0012	K00335,K00335,K00335	1.6.5.3	COG2768	2.66677207352497	1.7897058354922	1.10792824259676	3.40402953159883
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_0292	K02230	6.6.1.2	COG1429				
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_1494		1.2.7.8	COG4231				
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0630,mcj:MCON_0981,mcj:MCON_0987,mcj:MCON_1825,mcj:MCON_2267,mcj:MCON_3388	K07483		COG2963				
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_0685			COG3894				
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_3190	K01959	6.4.1.1	COG4770				
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0178							
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_1459	K00812	2.6.1.-	COG0436				
Methanobacterium	Methanobacterium formicicum	2160.0	2162.0		K01893,K04763,K04763,K04763,K04763		COG4974				
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_1250							
Methanobacterium	Methanobacterium formicicum	2160.0	2162.0		K01937	6.3.4.2	COG0504				
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1005	K07481		COG3039				
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_2789	K03427	2.1.1.72	COG0286				
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_0047							
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_0960		2.7.13.3	COG0835				
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_0959	K03496	2.7.10.-	COG1192				
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0736		3.5.1.28	COG1305				
Methanobacterium	Methanobacterium formicicum	2160.0	2162.0								
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_2474							
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_2475	K00777	6.3.2.19	COG2319				
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0317	K05520	1.18.1.1	COG1773				
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_1223							
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_2740		1.18.-.-	COG1592				
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_0949		2.4.-.-	COG0457				
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_2782	K03655	3.6.4.12	COG2865				
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_0516	K00947	2.7.4.22	COG0528				
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_2112	K00202	1.2.7.12	COG2218				
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_3387							
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_0421		3.4.24.-	COG3291				
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1969	K01496	3.5.4.19	COG0139				
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_3237	K00125	1.2.99.-	COG1139				
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_1431	K00937	2.7.4.1	COG0855				
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_2114		2.7.7.9	COG1210				
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_2981							
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1141							
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1429		2.7.11.-	COG0589				
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1838		2.5.1.-	COG0382				
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1837	K04034	4.-.-.-	COG1032				
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_1936							
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_0442							
Methanobacterium	Methanobacterium formicicum	2160.0	2162.0		K02469,K03427,K03427,K03427	2.1.1.72	COG0286				
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_1453							
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_0888							
Methanobacterium	Methanobacterium formicicum	2160.0	2162.0								
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_1351							
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_2700							
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_0498							
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_0470			COG2340				
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1867							
Methanobacterium	Methanobacterium formicicum	2160.0	2162.0								
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_2413		3.5.1.28	COG1305				
Methanobacterium	Methanobacterium formicicum	2160.0	2162.0			3.5.1.28	COG1305				
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0619	K02500	4.3.2.10	COG0107				
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_3193		2.7.13.3	COG2203				
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_3194							
Methanobacterium	Methanobacterium formicicum	2160.0	2162.0			6.6.1.2	COG5643				
Methanobacterium	Methanobacterium formicicum	2160.0	2162.0		K00754,K00754,K00721,K00754,K00754,K00754,K00754,K00754	3.1.3.3	COG0463				
Methanobacterium	Methanobacterium formicicum	2160.0	2162.0				COG2043				
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_0034	K10536	3.5.3.12	COG2957				
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_2279	K19793	2.6.1.-	COG0436				
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1848	K00599	2.1.1.172	COG2227				
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_3506							
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_0893							
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0228	K01866	6.1.1.1	COG0162				
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_0987		2.7.13.3	COG0642				
Methanothrix	Methanothrix thermoacetophila	2222.0	2224.0	mtp:Mthe_1397	K02319	2.7.7.7	COG0417				
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_2509							
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0998	K12574	3.1.-.-	COG0595				
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0997							
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1610							
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0635							
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0090							
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_2216		1.6.5.3	COG0477				
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1831	K00963	2.7.7.9	COG1209				
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1832							
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_0722							
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_0713							
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1983							
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_2937		2.1.1.113					
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_1357		5.6.2.4	COG0210				
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0206	K18237	5.3.1.29	COG1184				
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_0130	K01414		COG0339				
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_0584	K07065		COG2402				
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0622,mcj:MCON_2369			COG3039				
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_2299							
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0693			COG4902				
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0700		6.1.1.27	COG0731				
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0682							
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1430							
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0088,mcj:MCON_0982,mcj:MCON_0986,mcj:MCON_1824,mcj:MCON_2268,mcj:MCON_2804,mcj:MCON_3389	K00986,K00986,K00986,K00986,K00986,K00986,K00986,K00986,K00986,K00986,K00986,K00986,K00986,K00986	2.7.7.49	COG2801				
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0538	K13730		COG4886				
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0537		3.1.21.-	COG0535				
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_0816	K13993	4.3.1.19	COG0071				
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_2588	K18023	1.-.-.-	COG3260				
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_2603	K07179	2.7.11.1	COG0478				
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_2469		2.7.13.3	COG3290				
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0402							
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_1172		2.7.1.48	COG0630				
Methanobacterium	Methanobacterium formicicum	2160.0	2162.0								
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_1652	K02040	2.6.1.42	COG0226				
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_0795							
Methanospirillum	Methanospirillum hungatei	2202.0	2203.0	mhu:Mhun_1921							
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_2360							
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1736	K00992,K00992	2.7.7.47	COG1708				
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_1737							
Methanothrix	Methanothrix soehngenii	2222.0	2223.0	mcj:MCON_2973	K01677	4.2.1.2	COG1951				
